Tree_ID,TotalAvgCan,CanMinus10,CanMinus5,Can0,CanPlus5,CanPlus10,AvgHerbCover,AvgLeafLayer,StemLess8cm,StemMore8cm,BasalArea,Debris
M1,76.912,89.86,85.18,93.5,67.5,48.519999999999996,5.6,3.8,22,8,60,8
M2,89.288,94.54,85.7,76.6,92.98,96.62,8.4,2.4,7,8,60,5
M3,83.51599999999999,89.6,75.56,80.76,79.46000000000001,92.2,11.8,2.8,33,12,50,6
M4,89.236,80.5,93.24,89.86,86.74,95.84,3.8,2.8,11,7,80,3
M5,88.508,91.68,85.18,87.26,87.26,91.16,1.601,2.4,15,13,80,22
M6,90.69200000000001,93.5,93.76,92.46,90.9,82.84,2.103,2.8,18,15,70,7
BR1,85.232,89.34,82.84,82.84,90.12,81.02,18,2.2,-2,7,120,6
BR2,76.392,84.14,80.76,88.03999999999999,68.53999999999999,60.48,13.3,2.4,4,11,80,6
BR3,74.832,81.53999999999999,81.28,85.96000000000001,59.7,65.68,51,1.6,6,14,60,4
BR7,87.156,82.84,88.3,89.08,88.3,87.26,30.5,1.6,13,7,60,4
BR8,64.69200000000001,77.9,76.6,81.28,78.16,9.519999999999996,15.5,1.6,16,4,70,7
BR9,77.51,76.86,79.2,82.58,71.4,NA,31.6,2,26,9,60,2
BR10,75.144,75.03999999999999,78.16,80.76,61,80.75999999999999,23.5,1.6,27,0,50,4
BR27,65.368,67.24000000000001,68.8,69.32,55.02,66.46000000000001,30.5,1.8,69,2,50,0
BR28,64.068,53.72,58.92,64.64,70.88,72.18,24,1.4,76,3,80,2
BR26,62.664,78.68,72.7,59.18,56.58,46.18,27.6,1.8,21,3,30,0
M10,82.996,87.26,86.74,76.6,79.46000000000001,84.92,3.8,1.8,3,3,60,5
M11,86.935,85.7,85.96000000000001,91.16,84.92,NA,3.05,1.8,6,7,120,11
M12,84.78999999999999,75.56,85.18,91.68,86.74,NA,7.8,1,14,11,130,4
BR23,76.288,79.72,80.24,75.03999999999999,75.03999999999999,71.4,62.9,1.8,56,1,50,3
BR24,76.34,80.76,81.28,88.03999999999999,75.82,55.8,51,1.8,64,5,50,4
M28,85.44,87.52,88.56,86.48,87.26,77.38,24.4,3,35,5,70,3
BR25,82.944,85.18,87,73.22,89.86,79.46000000000001,30,1.4,66,2,70,4
M27,90.69200000000001,93.24,91.68,89.6,87.78,91.16,0.3,2.4,35,19,110,13
M29,93.916,94.54,92.72,95.32,93.24,93.76,0.4,2.4,10,7,80,6
BR11,79.824,83.36,90.12,89.86,75.82,59.96,34,1.8,1,6,40,5
BR14,64.172,79.46000000000001,68.8,63.6,52.68,56.32,48.5,1.8,6,6,70,3
CY11,79.2,77.9,81.28,73.48,90.64,72.7,1.7,2.2,83,3,100,5
CY12,77.64,83.36,65.16,75.03999999999999,87,NA,15.6,2,58,12,120,6
M18,80.5,91.42,74.52,92.98,71.4,72.18,4.5,4,16,3,60,0
M20,86.74,82.84,87,83.36,92.72,87.78,6,2.6,12,3,30,0
M22,80.396,84.66,75.03999999999999,78.94,80.5,82.84,21,2.8,11,4,50,2
M25,84.972,83.36,84.92,84.14,85.7,86.74,3.2,2.6,65,2,90,2
M23,89.132,87.26,84.4,94.02,88.56,91.42,0.4,2.8,76,10,90,3
M24,87.624,86.22,89.34,91.94,89.6,81.02,42.7,2,80,5,60,3
BR15,72.44,77.38,78.68,73.22,76.86,56.059999999999995,16.5,2.8,19,2,60,0
BR22,100,100,100,100,100,100,50.5,1.6,32,2,NA,2
BR12,100,100,100,100,100,100,47,1.8,24,0,NA,2
M30,100,100,100,100,100,100,1.7,2.8,62,7,100,1
M31,100,100,100,100,100,100,2.4,3.8,54,6,90,2
BR20,100,100,100,100,100,100,18.1,2.4,60,8,50,6
BR21,100,100,100,100,100,100,88.7,1,33,6,100,2
M8,100,100,100,100,100,100,35.1,2,57,5,100,7
M26,100,100,100,100,100,100,1.7,2.4,84,11,NA,10
M7,100,100,100,100,100,100,19.7,3.6,68,2,40,0
M9,100,100,100,100,100,100,41.3,2.4,81,12,40,0
BR29,83.776,62.3,81.53999999999999,94.8,92.2,88.03999999999999,19.5,1.8,36,3,NA,0
BR30,100,100,100,100,100,100,26.2,1.8,32,1,NA,2
CY10,100,100,100,100,100,100,10.5,2.2,15,3,20,1
CY8,100,100,100,100,100,100,37.5,1.6,19,1,40,3
CY9,100,100,100,100,100,100,14,3.2,16,4,40,1
M17,100,100,100,100,100,100,19,2.8,33,3,NA,NA
M14,100,100,100,100,100,100,31,3.4,42,4,NA,NA
M15,100,100,100,100,100,100,7,2.6,26,2,NA,NA
BR5,100,100,100,100,100,100,43.5,2,10,8,80,5
BR6,100,100,100,100,100,100,81,1.6,30,0,50,0
CY13,100,100,100,100,100,100,16.2,2,69,10,100,2
CY1,100,100,100,100,100,100,5.5,2.8,23,3,30,2
CY2,100,100,100,100,100,100,11,2.4,23,3,60,NA
CY3,100,100,100,100,100,100,4.5,2.8,19,4,70,2
BR16,100,100,100,100,100,100,35.5,1.8,10,0,50,3
BR18,100,100,100,100,100,100,49,2.6,17,0,50,1
M19,100,100,100,100,100,100,11.8,2,10,7,70,5
M21,100,100,100,100,100,100,3,2.4,7,7,NA,7
CY6,100,100,100,100,100,100,0.3,1.4,77,10,120,4
CY7,100,100,100,100,100,100,0.5,1.6,62,14,160,10
CY4,100,100,100,100,100,100,9.8,2,29,8,150,10
CY5,100,100,100,100,100,100,1.8,3,93,2,190,0
BR17,100,100,100,100,100,100,19.5,2.8,2,9,NA,4
BR19,100,100,100,100,100,100,25.6,1.6,12,4,50,3
M13,100,100,100,100,100,100,50,1.4,-2,6,70,5
M16,100,100,100,100,100,100,10.5,1.8,6,6,40,5
