"Tree_ID","ARST","CHDI","COTR","DITY","GAPR","HEAN","HEBA","HEMA","HEMI","HEPL","LALO","LYMO","MOAF","MOSU","NAME","NUBO","PSOR","PSPU","RHRO","TRMA","TRPL","TRVA","VAAL","X25","diversity_shannon","EffectSpecNumShan","diversity_simpson","EffectSpecNumbSimps","abund","rich","diversity_shannon_Arb","diversity_simpson_Arb","EffectSpecNumShan_Arb","EffectSpecNumbSimps_Arb","abund_Arb","rich_Arb","diversity_shannon_Ter","diversity_simpson_Ter","EffectSpecNumShan_Ter","EffectSpecNumbSimps_Ter","abund_Ter","rich_Ter","diversity_shannon_Noct","diversity_simpson_Noct","EffectSpecNumShan_Noct","EffectSpecNumbSimps_Noct","abund_Noct","rich_Noct","diversity_shannon_Diur","diversity_simpson_Diur","EffectSpecNumShan_Diur","EffectSpecNumbSimps_Diur","abund_Diur","rich_Diur","extra_ground","category","Tree_species","DBH_cm","MHC_m","HOT_m","forest_type","edge_category_m","edge_dist_m","med_hght","MedHghtPerc","HeightRange_m","TotalAvgCan","CanMinus10","CanMinus5","Can0","CanPlus5","CanPlus10","AvgHerbCover","AvgLeafLayer","StemLess8cm","StemMore8cm","BasalArea","Debris","lat","lon"
"BR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","core","Brachystegia spiciformis",68.5,12.6,14.6,"BR",500,NA,NA,NA,NA,85.232,89.34,82.84,82.84,90.12,81.02,18,2.2,-2,7,120,6,-3.352463,39.901356
"BR10",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,1,Inf,0,0,0,0,1,1,2,1,0,0,1,1,2,1,0,1,1,Inf,0,0,"N","core","Brachystegia spiciformis",77.25,15,17.5,"BR",100,NA,NA,NA,NA,75.144,75.04,78.16,80.76,61,80.76,23.5,1.6,27,0,50,4,-3.361308,39.900274
"BR11",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1.09861228866811,3,0.666666666666667,3,3,3,1.09861228866811,0.666666666666667,3,3,3,3,0,1,1,Inf,0,0,0,1,1,Inf,0,0,1.09861228866811,0.666666666666667,3,3,3,3,"N","edge","Brachystegia spiciformis",44.6,15,18,"BR",0,NA,8,0.444444444444444,0.9,79.824,83.36,90.12,89.86,75.82,59.96,34,1.8,1,6,40,5,-3.406697,39.905663
"BR12",0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.56071040904141,4.7622031559046,0.777777777777778,4.5,6,5,1.33217904021012,0.72,3.789291416276,3.57142857142857,5,4,0,0,1,1,1,1,1.03972077083992,0.625,2.82842712474619,2.66666666666667,4,3,0.693147180559945,0.5,2,2,2,2,"N","edge",NA,73,15.3,17,"BR",0,NA,8,0.470588235294118,10.4,73.272,66.72,64.9,68.02,77.12,89.6,47,1.8,24,0,NA,2,-3.405546,39.906297
"BR12.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"Y","edge",NA,NA,NA,NA,"BR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR13",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,0,1,1,1,1,0,1,1,Inf,0,0,"N","edge",NA,NA,16.3,19,"BR",30,NA,2,0.105263157894737,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.405579,39.905946
"BR13.100",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"Y","edge",NA,NA,NA,NA,"BR",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","edge","Brachystegia spiciformis",48.4,17,19,"BR",30,NA,NA,NA,NA,64.172,79.46,68.8,63.6,52.68,56.32,48.5,1.8,6,6,70,3,-3.406453,39.905346
"BR15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","core",NA,36.2,16.4,19.4,"BR",100,NA,NA,NA,NA,72.44,77.38,78.68,73.22,76.86,56.06,16.5,2.8,19,2,60,0,-3.405376,39.905329
"BR16",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"N","core",NA,54.3,12.3,14.8,"BR",250,NA,3.4,0.22972972972973,0,71.66,71.92,77.9,87.26,60.74,60.48,35.5,1.8,10,0,50,3,-3.38093,39.890738
"BR16.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"Y","core",NA,NA,NA,NA,"BR",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR17",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,0,1,1,1,1,0,1,1,Inf,0,0,"N","core","Brachystegia spiciformis",63,24,25,"BR",250,NA,2,0.08,0,77.068,78.42,71.14,77.12,79.72,78.94,19.5,2.8,2,9,NA,4,-3.382173,39.890071
"BR18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,1,1,Inf,0,0,0,0,1,1,2,1,0,1,1,Inf,0,0,0,0,1,1,2,1,"N","core",NA,39.4,13,15.5,"BR",100,NA,NA,NA,NA,79.928,79.2,74.52,81.8,79.2,84.92,49,2.6,17,0,50,1,-3.381238,39.891346
"BR18.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"Y","core",NA,NA,NA,NA,"BR",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","core","Brachystegia spiciformis",48.5,15,19,"BR",100,NA,12,0.631578947368421,0,71.14,53.2,62.56,76.34,78.94,84.66,25.6,1.6,12,4,50,3,-3.382282,39.89132
"BR2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"N","core","Brachystegia spiciformis",55.5,13,15,"BR",500,NA,8.5,0.566666666666667,0,76.392,84.14,80.76,88.04,68.54,60.48,13.3,2.4,4,11,80,6,-3.351441,39.902148
"BR20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"N","edge","Combretum sp.",32.5,12,12,"BR",0,NA,NA,NA,NA,75.976,80.24,62.82,75.3,86.22,75.3,18.1,2.4,60,8,50,6,-3.401649,39.910133
